identifier_id,k_matrix,k_fault,viscosity,S_matrix,S_fault,rate,fz_thickness
1662,3.72759372031494E-14,0.000000001,0.0002571429,3.58571428571428E-11,4.71428571428571E-11,20,50
7391,8.48342898244073E-14,7.19685673001153E-12,0.0001285714,1.48714285714286E-10,1.6E-10,20,50
7474,8.48342898244073E-14,7.19685673001153E-12,0.0001428571,4.71428571428571E-11,8.1E-11,20,50
605,8.48342898244073E-14,7.19685673001153E-12,0.0001857143,8.1E-11,1.26142857142857E-10,20,50
788,8.48342898244073E-14,7.19685673001153E-12,0.0002,4.71428571428571E-11,1.6E-10,20,50
876,8.48342898244073E-14,7.19685673001153E-12,0.0002,1.14857142857143E-10,1.37428571428571E-10,20,50
1073,8.48342898244073E-14,7.19685673001153E-12,0.0002142857,9.22857142857143E-11,1.6E-10,20,50
1232,8.48342898244073E-14,7.19685673001153E-12,0.0002285714,4.71428571428571E-11,9.22857142857143E-11,20,50
1248,8.48342898244073E-14,7.19685673001153E-12,0.0002285714,5.84285714285714E-11,1.03571428571429E-10,20,50
2374,8.48342898244073E-14,7.19685673001153E-12,0.0003,5.84285714285714E-11,1.14857142857143E-10,20,50
2386,8.48342898244073E-14,7.19685673001153E-12,0.0003,6.97142857142857E-11,8.1E-11,20,50
2392,8.48342898244073E-14,7.19685673001153E-12,0.0003,6.97142857142857E-11,1.48714285714286E-10,20,50
3995,8.48342898244073E-14,1.63789370695407E-11,0.0001857143,9.22857142857143E-11,1.26142857142857E-10,20,50
5149,8.48342898244073E-14,1.63789370695407E-11,0.0002571429,1.14857142857143E-10,1.14857142857143E-10,20,50
5438,8.48342898244073E-14,1.63789370695407E-11,0.0002714286,1.6E-10,1.6E-10,20,50
6788,8.48342898244073E-14,3.72759372031494E-11,0.0001428571,1.6E-10,1.6E-10,20,50
6861,8.48342898244073E-14,3.72759372031494E-11,0.0001571429,4.71428571428571E-11,1.37428571428571E-10,20,50
1899,8.48342898244073E-14,8.48342898244072E-11,0.0001142857,2E-12,3.58571428571428E-11,20,35
2369,8.48342898244073E-14,8.48342898244072E-11,0.0001428571,1.32857142857143E-11,9.22857142857143E-11,20,35
4633,8.48342898244073E-14,8.48342898244072E-11,0.0002857143,2.45714285714286E-11,8.1E-11,20,35
4864,8.48342898244073E-14,8.48342898244072E-11,0.0003,2.45714285714286E-11,1.48714285714286E-10,20,35
6654,8.48342898244073E-14,1.93069772888325E-10,0.0002,2.45714285714286E-11,3.58571428571428E-11,20,35
6931,8.48342898244073E-14,1.93069772888325E-10,0.0002142857,5.84285714285714E-11,1.14857142857143E-10,20,35
7103,8.48342898244073E-14,1.93069772888325E-10,0.0002285714,2.45714285714286E-11,2.45714285714286E-11,20,35
7323,8.48342898244073E-14,1.93069772888325E-10,0.0002428571,1.32857142857143E-11,1.37428571428571E-10,20,35
603,8.48342898244073E-14,3.72759372031494E-11,0.0002428571,3.58571428571428E-11,1.37428571428571E-10,20,50
2584,8.48342898244073E-14,8.48342898244072E-11,0.0001571429,2E-12,1.48714285714286E-10,20,50
2672,8.48342898244073E-14,8.48342898244072E-11,0.0001571429,6.97142857142857E-11,1.26142857142857E-10,20,50
3138,8.48342898244073E-14,8.48342898244072E-11,0.0001857143,8.1E-11,1.37428571428571E-10,20,50
4640,8.48342898244073E-14,8.48342898244072E-11,0.0002857143,2.45714285714286E-11,1.6E-10,20,50
6738,8.48342898244073E-14,1.93069772888325E-10,0.0002,8.1E-11,1.37428571428571E-10,20,50
6889,8.48342898244073E-14,1.93069772888325E-10,0.0002142857,2.45714285714286E-11,1.48714285714286E-10,20,50
6964,8.48342898244073E-14,1.93069772888325E-10,0.0002142857,8.1E-11,1.48714285714286E-10,20,50
7395,8.48342898244073E-14,1.93069772888325E-10,0.0002428571,6.97142857142857E-11,1.03571428571429E-10,20,50
7440,8.48342898244073E-14,1.93069772888325E-10,0.0002428571,1.03571428571429E-10,1.03571428571429E-10,20,50
2481,3.16227766016838E-15,7.19685673001153E-12,0.0001428571,9.22857142857143E-11,1.26142857142857E-10,20,15
6488,3.16227766016838E-15,1.63789370695407E-11,0.0001857143,5.84285714285714E-11,1.48714285714286E-10,20,15
6721,3.16227766016838E-15,4.39397056076079E-10,0.0003,1.48714285714286E-10,1.6E-10,20,15
7436,7.19685673001153E-15,3.72759372031494E-11,0.0001857143,1.37428571428571E-10,1.6E-10,20,50
844,7.19685673001153E-15,3.72759372031494E-11,0.0002571429,4.71428571428571E-11,1.26142857142857E-10,20,15
517,7.19685673001153E-15,3.72759372031494E-11,0.0002285714,1.37428571428571E-10,1.6E-10,20,20
674,8.48342898244073E-14,1.93069772888325E-10,0.0003,4.71428571428571E-11,1.26142857142857E-10,20,35
893,8.48342898244073E-14,4.39397056076079E-10,0.0001,4.71428571428571E-11,5.84285714285714E-11,20,35
926,8.48342898244073E-14,4.39397056076079E-10,0.0001,6.97142857142857E-11,9.22857142857143E-11,20,35
960,8.48342898244073E-14,4.39397056076079E-10,0.0001,9.22857142857143E-11,1.37428571428571E-10,20,35
3195,8.48342898244073E-14,4.39397056076079E-10,0.0002428571,8.1E-11,1.37428571428571E-10,20,35
3835,8.48342898244073E-14,4.39397056076079E-10,0.0002857143,5.84285714285714E-11,8.1E-11,20,35
4337,8.48342898244073E-14,0.000000001,0.0001,9.22857142857143E-11,1.6E-10,20,35
4605,8.48342898244073E-14,0.000000001,0.0001142857,1.26142857142857E-10,1.37428571428571E-10,20,35
5087,8.48342898244073E-14,0.000000001,0.0001428571,1.48714285714286E-10,1.6E-10,20,35
5591,8.48342898244073E-14,0.000000001,0.0001857143,2.45714285714286E-11,9.22857142857143E-11,20,35
5810,8.48342898244073E-14,0.000000001,0.0002,2.45714285714286E-11,2.45714285714286E-11,20,35
6552,8.48342898244073E-14,0.000000001,0.0002428571,6.97142857142857E-11,1.03571428571429E-10,20,35
7001,8.48342898244073E-14,0.000000001,0.0002714286,6.97142857142857E-11,9.22857142857143E-11,20,35
7007,8.48342898244073E-14,0.000000001,0.0002714286,6.97142857142857E-11,1.6E-10,20,35
7229,8.48342898244073E-14,0.000000001,0.0002857143,6.97142857142857E-11,1.26142857142857E-10,20,35
62,8.48342898244073E-14,1.93069772888325E-10,0.0002571429,9.22857142857143E-11,1.6E-10,20,50
661,8.48342898244073E-14,1.93069772888325E-10,0.0003,3.58571428571428E-11,1.48714285714286E-10,20,50
2251,8.48342898244073E-14,4.39397056076079E-10,0.0001857143,4.71428571428571E-11,1.48714285714286E-10,20,50
3545,8.48342898244073E-14,4.39397056076079E-10,0.0002714286,1.32857142857143E-11,2.45714285714286E-11,20,50
4108,8.48342898244073E-14,4.39397056076079E-10,0.0003,9.22857142857143E-11,1.14857142857143E-10,20,50
7451,8.48342898244073E-14,0.000000001,0.0003,6.97142857142857E-11,9.22857142857143E-11,20,50
